time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.5000000000000009,0.029022573899051732,0.15866244175461092,2.491768894541904,0.04541835772944136,6.268765880383054,0.0,0.06173809553348355,0.3332528569859161,2.977396253897033,0.032434618860197155,0.00444635988695107,0.0,390.2816936328533,391.5632813192672,391.9124763245545,391.17782830287007
1.560000000000001,0.03303200736732055,0.17962874003600782,2.673977803901413,0.047803667073013756,6.2691907197548105,0.0,0.07186828180217322,0.3658373887296036,3.0959046365693244,0.05139670901770427,0.011887933389105737,0.0,450.9314894573659,451.5321272233492,450.8482213885215,452.3784427907651
1.620000000000001,0.03756655031870483,0.20235274939559286,2.8580991675093643,0.05067972627442252,6.269754078295961,0.0,0.07923395692694418,0.3918715541016305,3.0416046008347974,0.039913208417738065,0.0038541996751142726,0.0,395.39701360111104,394.65606037371,395.8051883625043,394.7485713481861
1.680000000000001,0.042609447957067705,0.2269650986528809,3.044482350403196,0.05310610108455194,6.269854942840238,0.0,0.08883960237664855,0.42877585900293863,3.170798115209077,0.04147180410964462,-0.0030644349570561227,0.0,454.99196412803036,454.4376826699085,455.5164292675601,455.6418542326125
1.740000000000001,0.04821442396079042,0.2537894248633589,3.237594929902732,0.055818890781827335,6.269657161495942,0.0,0.09800844503476701,0.46561532503629594,3.2659976607833223,0.051804120569472194,-0.003764308886400249,0.0,444.99572510965237,444.9384945110191,445.3775009202807,446.2229466834448
1.8000000000000012,0.05434183628243367,0.28274882804365337,3.4340660285644287,0.05904585291678366,6.269138609193359,0.0,0.1062689614707224,0.4999766191025481,3.2829651106156796,0.05747080155237686,-0.020824465138272904,0.0,421.24823797121627,419.77042885038816,420.794252087897,421.28661353832206
1.8600000000000012,0.061040494271242106,0.3140921535892878,3.63594360281341,0.06300901379410284,6.267506429034679,0.0,0.1171678020311914,0.5451853230519571,3.4457701215357237,0.07925490103563763,-0.044713067955897065,0.0,467.1605153790489,465.2937976830715,466.6808999912319,468.3810920415314
1.9200000000000013,0.06838336057640534,0.34803412110329535,3.84433646158962,0.06802739587004503,6.264769773194693,0.0,0.12785011695978493,0.5866657698829574,3.5004434931769954,0.09121256542124379,-0.047469387916212594,0.0,434.97541814352786,434.7432533375629,433.48346140398166,434.49301737989686
1.9800000000000013,0.07642429558503139,0.38457657351801783,4.056190437121908,0.07361878339966399,6.261614273160205,0.0,0.14046385732000535,0.6319306822143245,3.5611080591353454,0.09687432903557952,-0.06555833254097894,0.0,437.73587821417533,436.22594118312105,436.42860623014667,436.9084277308677
2.0400000000000014,0.08534937194748031,0.42415343194465616,4.274460420300423,0.07885816353100861,6.258054487516569,0.0,0.15743732448277858,0.6878827664244364,3.713993143549308,0.049676270419057644,-0.04912726476962881,0.0,464.93783542394,466.22105594576465,468.19689739178983,464.5152907594311
